Date,Year,Month,State_UT,OMC,Fuel_Station_ID,Petrol_Sales_KL,Ethanol_Blended_KL,Blending_Percentage,Feedstock,CO2_Reduction_Tonnes,Import_Savings_INR
2015-01-01,2015,1,Andhra Pradesh,HPCL,FS100000,45194,551.37,1.22,Molasses,964.9,30325.35
2015-02-01,2015,2,Andhra Pradesh,HPCL,FS100001,52131,1157.31,2.22,Molasses,2025.29,63652.05
2015-03-01,2015,3,Andhra Pradesh,HPCL,FS100002,72925,1502.26,2.06,Maize,2628.95,82624.3
2015-04-01,2015,4,Andhra Pradesh,BPCL,FS100003,13311,251.58,1.89,Maize,440.27,13836.9
2015-05-01,2015,5,Andhra Pradesh,IOC,FS100004,33658,730.38,2.17,Sugarcane,1278.16,40170.9
2015-06-01,2015,6,Andhra Pradesh,HPCL,FS100005,26431,174.44,0.66,Maize,305.27,9594.2
2015-07-01,2015,7,Andhra Pradesh,HPCL,FS100006,75435,1629.4,2.16,Maize,2851.45,89617.0
2015-08-01,2015,8,Andhra Pradesh,HPCL,FS100007,39551,577.44,1.46,Molasses,1010.52,31759.2
2015-09-01,2015,9,Andhra Pradesh,IOC,FS100008,18627,426.56,2.29,Broken Rice,746.48,23460.8
2015-10-01,2015,10,Andhra Pradesh,IOC,FS100009,51001,1315.83,2.58,Molasses,2302.7,72370.65
2015-11-01,2015,11,Andhra Pradesh,IOC,FS100010,31483,692.63,2.2,Maize,1212.1,38094.65
2015-12-01,2015,12,Andhra Pradesh,HPCL,FS100011,25159,392.48,1.56,Molasses,686.84,21586.4
2016-01-01,2016,1,Andhra Pradesh,HPCL,FS100012,77479,2347.61,3.03,Broken Rice,4108.32,129118.55
2016-02-01,2016,2,Andhra Pradesh,BPCL,FS100013,60995,2287.31,3.75,Maize,4002.79,125802.05
2016-03-01,2016,3,Andhra Pradesh,BPCL,FS100014,48397,2008.48,4.15,Sugarcane,3514.84,110466.4
2016-04-01,2016,4,Andhra Pradesh,HPCL,FS100015,9016,315.56,3.5,Molasses,552.23,17355.8
2016-05-01,2016,5,Andhra Pradesh,BPCL,FS100016,17268,664.82,3.85,Molasses,1163.44,36565.1
2016-06-01,2016,6,Andhra Pradesh,BPCL,FS100017,47099,1912.22,4.06,Sugarcane,3346.39,105172.1
2016-07-01,2016,7,Andhra Pradesh,IOC,FS100018,56984,1327.73,2.33,Sugarcane,2323.53,73025.15
2016-08-01,2016,8,Andhra Pradesh,HPCL,FS100019,70592,1913.04,2.71,Sugarcane,3347.82,105217.2
2016-09-01,2016,9,Andhra Pradesh,HPCL,FS100020,69858,2815.28,4.03,Broken Rice,4926.74,154840.4
2016-10-01,2016,10,Andhra Pradesh,IOC,FS100021,46660,1049.85,2.25,Broken Rice,1837.24,57741.75
2016-11-01,2016,11,Andhra Pradesh,BPCL,FS100022,16392,665.52,4.06,Broken Rice,1164.66,36603.6
2016-12-01,2016,12,Andhra Pradesh,BPCL,FS100023,43222,1547.35,3.58,Sugarcane,2707.86,85104.25
2017-01-01,2017,1,Andhra Pradesh,BPCL,FS100024,18965,1062.04,5.6,Molasses,1858.57,58412.2
2017-02-01,2017,2,Andhra Pradesh,HPCL,FS100025,78592,5297.1,6.74,Broken Rice,9269.93,291340.5
2017-03-01,2017,3,Andhra Pradesh,HPCL,FS100026,8206,232.23,2.83,Sugarcane,406.4,12772.65
2017-04-01,2017,4,Andhra Pradesh,HPCL,FS100027,31419,1680.92,5.35,Maize,2941.61,92450.6
2017-05-01,2017,5,Andhra Pradesh,IOC,FS100028,62268,2696.2,4.33,Broken Rice,4718.35,148291.0
2017-06-01,2017,6,Andhra Pradesh,BPCL,FS100029,79910,3004.62,3.76,Sugarcane,5258.09,165254.1
2017-07-01,2017,7,Andhra Pradesh,IOC,FS100030,70623,2146.94,3.04,Broken Rice,3757.14,118081.7
2017-08-01,2017,8,Andhra Pradesh,HPCL,FS100031,30299,1602.82,5.29,Broken Rice,2804.93,88155.1
2017-09-01,2017,9,Andhra Pradesh,BPCL,FS100032,10693,528.23,4.94,Maize,924.4,29052.65
2017-10-01,2017,10,Andhra Pradesh,BPCL,FS100033,29834,1760.21,5.9,Maize,3080.37,96811.55
2017-11-01,2017,11,Andhra Pradesh,BPCL,FS100034,31776,1191.6,3.75,Broken Rice,2085.3,65538.0
2017-12-01,2017,12,Andhra Pradesh,IOC,FS100035,74842,3884.3,5.19,Sugarcane,6797.53,213636.5
2018-01-01,2018,1,Andhra Pradesh,BPCL,FS100036,66053,3646.13,5.52,Sugarcane,6380.73,200537.15
